poet_id,nom_canonique,nom_famille,nom_variantes,holdouts,anth_Buk_Vang_1972,streets_inside_1978,poetry_loves_poetry_1985,invocation_LA_1989,grand_passion_1995,stand_up_1990,stand_up_2002,leimert_park_2006,wide_awake_2015,cross_strokes_2015,coiled_serpent_2016,leimert_park_redux_2017,workshop_beyond_baroque_2018,lapl_list,laureat,mohr_blog_absents
78,Ann Buxie,Buxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malibu,0
79,Elena Karina Byrne,Byrne,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
80,Paul Calderon,Calderon,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
81,Ben Caldwell,Caldwell,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
82,Don Kingfisher Campbell,Campbell,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
83,Luis Campos,Campos,Luís Campos,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0
84,Jessica M. Wilson Cardenas,Cardenas,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
85,Helene Cardona,Cardona,Hélène Cardona,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
86,Alvaro Cardona-Hine,Cardona-Hine,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
87,Anne Carmack,Carmack,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Monica,0
88,Anaid Carreno,Carreno,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
89,Iliana Carter,Carter,iliana carter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
90,Peter Cashorali,Cashorali,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
91,Fernando J. Castro,Castro,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
92,Sue Caylor,Caylor,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
93,Jessica Ceballos,Ceballos,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0
94,Adrian Ernesto Cepeda,Cepeda,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
95,Angel Cerritos,Cerritos,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
96,Alma Cervantes,Cervantes,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
97,Exene Cervenka,Cervenka,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
98,Robert Chambers,Chambers,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
99,Cathy Linh Che,Che,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
100,Lisa Cheby,Cheby,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
101,Jen Cheng,Cheng,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Hollywood,0
102,Neeli Cherry,Cherry,Neeli Cherkovski,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
103,Judy Chicago,Chicago,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
104,Aileen Cho,Cho,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0
105,Gabreal Cho,Cho,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
106,Chiwan Choi,Choi,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0
107,Marcus Clayton,Clayton,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
108,Odessa Cleveland,Cleveland,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
109,Michelle T. Clinton,Clinton,,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,,1
110,Jeanette Clough,Clough,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
111,Tricia Cochee,Cochee,Tricia Alkmia Cochée,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
112,Nan Cohen,Cohen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
113,Lori Cohen,Cohen,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
114,Mark Colasurdo,Colasurdo,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
115,Wanda Coleman,Coleman,,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,,0
116,Larry Colker,Colker,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
117,Buddy Collette,Collette,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
119,Cathy Colman,Colman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
120,Brendan Constantine,Constantine,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
121,Dennis Cooper,Cooper,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
122,Henri Coulette,Coulette,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
123,Robert Crosson,Crosson,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
124,Rafa Cruz,Cruz,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
125,Gil Cuadros,Cuadros,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0
126,Iliana Cuellar,Cuellar,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
127,Yago S. Cura,Cura,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
128,Art Currim,Currim,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0
129,James Cushing,Cushing,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
130,Doren Damico,Damico,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
131,Mary-Alice Daniel,Daniel,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
132,Michael Datcher,Datcher,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
133,Carol V. Davis,Davis,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0
134,Kamau Daáood,Daáood,Kamau Da'aood; Kamau Daaood; Kamau Daood,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,,0
135,Jacqueline DeAngelis,DeAngelis,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
136,Juan Delgado,Delgado,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
137,Seven Dhar,Dhar,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
138,David M. Diaz,Diaz,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
139,Jose Hernandez Diaz,Diaz,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
140,Nia Malika Dixon,Dixon,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
