poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner,score_revues_volume,poetry_magazine_nb_pub,american_poetry_review_nb_pub,kenyon_review_nb_pub,prairie_schooner_nb_pub
190,Margaret Elysia Garcia,[],[],[],[],0,0,0,0,0
191,Frank X. Gaspar,[],[2014],"[1990, 1999, 2001, 2011]","[1999, 2002, 2009, 2019]",9,0,1,4,4
192,Marisa Urrutia Gedney,[],[],[],[],0,0,0,0,0
193,Emma Gee,[],[],[],[],0,0,0,0,0
194,Amy Gerstler,[2013],"[1991, 1993, 1996, 1997]",[1998],[],6,1,4,1,0
195,Marsha Getzler,[],[],[],[],0,0,0,0,0
196,Dana Gioia,"[1982, 1983, 1985, 1986, 1987, 1989, 2002, 2004, 2005, 2006]","[1996, 2011]",[1983],"[1985, 1986, 1987]",16,10,2,1,3
197,Steve Goldman,[],[],[],[],0,0,0,0,0
198,Guillermo Gomez-Pena,[],[],[],[],0,0,0,0,0
199,Liz Gonzalez,[],[],[],[],0,0,0,0,0
200,William A. Gonzalez,[],[],[],[],0,0,0,0,0
201,Jessica Goodheart,[],[],[],[],0,0,0,0,0
202,Don Gordon,"[1953, 1954, 1955]",[],[],[],3,3,0,0,0
203,Amanda Gorman,[],[],[],[],0,0,0,0,0
204,Gerda Govine,[],[],[],[],0,0,0,0,0
205,Natalie J. Graham,[],[],[],[],0,0,0,0,0
206,Jack Grapes,[],[],[],[],0,0,0,0,0
207,Pamela Gray,[],[],[],[],0,0,0,0,0
208,Dorothy Randall Gray,[],[],[],[],0,0,0,0,0
209,Janet Gray,[],[],[],[],0,0,0,0,0
210,Timothy Green,[],[],[],[],0,0,0,0,0
211,Sonia Greenfield,[],[],[],[],0,0,0,0,0
212,Robert Greenfield,[],[],[],[],0,0,0,0,0
213,Ian Gregson,[],[],[],[],0,0,0,0,0
214,Robert Gribbin,[],[],[],[],0,0,0,0,0
215,S.A. Griffin,[],[],[],[],0,0,0,0,0
216,Gronk,[],[],[],[],0,0,0,0,0
217,Charles Gullans,"[1963, 1974, 1978]",[],[],[],3,3,0,0,0
218,Joseph Hansen,[],[],[],[],0,0,0,0,0
219,John Harris,[],[],[],[],0,0,0,0,0
220,Peter J. Harris,[],[],[],[],0,0,0,0,0
221,Hazel Clayton Harrison,[],[],[],[],0,0,0,0,0
222,Nathan Hassall,[],[],[],[],0,0,0,0,0
223,Levan Hawkins,[],[],[],[],0,0,0,0,0
224,Eloise Klein Healy,[],[],[],"[2002, 2007]",2,0,0,0,2
225,Kevin James Hearle,[],[],[],[],0,0,0,0,0
226,Leslie Woolf Hedley,[1962],[],[],[1962],2,1,0,0,1
227,George Herms,[],[],[],[],0,0,0,0,0
228,David Hernandez,[2016],[],[2008],"[2002, 2005, 2007]",5,1,0,1,3
229,Judith Hernandez,[],[],[],[],0,0,0,0,0
230,Gustavo Hernandez,[],[],[],[],0,0,0,0,0
231,Adolfo Y. Hernandez,[],[],[],[],0,0,0,0,0
232,Raul Herrera,[],[],[],[],0,0,0,0,0
233,Juan Felipe Herrera,[2016],"[1985, 1991, 1992, 1995]",[],[],5,1,4,0,0
234,Leland Hickman,[],[],[],[],0,0,0,0,0
235,Bill Hickok,[],[],[],[],0,0,0,0,0
236,Billy Higgins,[],[],[],[],0,0,0,0,0
237,Regina Higgins,[],[],[],[],0,0,0,0,0
238,William Ryan Hilary,[],[],[],[],0,0,0,0,0
239,Yuri Hinson,[],[],[],[],0,0,0,0,0
240,Jack Hirschman,"[1963, 1965, 1968]","[2003, 2005, 2008]",[],"[1957, 1963]",8,3,3,0,2
241,Marlene Hitt,[],[],[],[],0,0,0,0,0
242,Jen Hofer,[],[],[],[],0,0,0,0,0
243,Alexandra Hohmann,[],[],[],[],0,0,0,0,0
244,Karen Holden,[],[],[],[],0,0,0,0,0
245,Harmony Holiday,"[2019, 2020]",[],[],[],2,2,0,0,0
246,Jamal Holmes,[],[],[],[],0,0,0,0,0
247,Tanya Ko Hong,[],[],[],[],0,0,0,0,0
248,Walter Hopps,[],[],[],[],0,0,0,0,0
249,Coy Howard,[],[],[],[],0,0,0,0,0
250,Eric Howard,[],[],[],[],0,0,0,0,0
251,Dorothy B. Hughes,[],[],[],[],0,0,0,0,0
252,Nan Hunt,[],[],[],[],0,0,0,0,0
253,Terry Hunter,[],[],[],[],0,0,0,0,0
254,Boris Salvador Ingles,[],[],[],[],0,0,0,0,0
255,Charlotte Innes,[],[],[],[],0,0,0,0,0
256,Eileen Aaronson Ireland,[],[],[],[],0,0,0,0,0
257,William Iwamoto,[],[],[],[],0,0,0,0,0
258,Wendy James,[],[],[],[],0,0,0,0,0
259,David James,[],[],[],[],0,0,0,0,0
260,Paul Jarrico,[],[],[],[],0,0,0,0,0
261,David St. John,"[1977, 1978, 1979, 1981, 1983, 1984, 1986, 1987, 1995, 2001, 2002, 2003]","[1976, 1984, 1985, 1991, 1994, 1998]","[1997, 1999, 2009, 2012, 2017, 2020, 2021]","[1982, 2022]",27,12,6,7,2
262,James Evert Jones,[],[],[],[],0,0,0,0,0
263,Lois P. Jones,[],[],[],[],0,0,0,0,0
264,Harry Gamboa Jr.,[],[],[],[],0,0,0,0,0
265,Grover Jacoby Jr.,[],[],[],[],0,0,0,0,0
266,Traci Kato-Kiriyama,[],[],[],[],0,0,0,0,0
267,Douglas Kearney,"[2019, 2020]",[],[],[],2,2,0,0,0
268,Hanson Kellogg,[1950],[],[],[],1,1,0,0,0
