poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner
417,Robert Peters,[],[],[],[1969]
418,Dennis Phillips,[],[],[],[]
419,Ramona Pilar,[],[],[],[]
420,William Pillin,"[1950, 1954, 1955, 1957, 1959]",[],[],[1958]
421,Ben Pleasants,[],[],[],[]
422,Robin Podolsky,[],[],[],[]
423,Doraine Poretz,[],[],[],[]
424,Nailah Porter,[],[],[],[]
425,Holly Prado,[],[1976],[1990],[]
426,Eric Priestley,[],[],[],[]
427,Jerry Quickley,[],[],[],[]
428,Naomi Quinonez,[],[],[],[]
429,Arturo Quiros,[],[],[],[]
430,Claire Rabe,[],[],[],[]
431,James Ragan,"[2004, 2005]",[],[],[2005]
432,Jed Rasula,[],[],[],[]
433,Arlene Raven,[],[],[],[]
434,Linda Ravenswood,[],[],[],[]
435,Donald Rawley,[],[],[],[]
436,A. Razor,[],[],[],[]
437,John Rechy,[],[],[],"[1971, 2004]"
438,Ellen Reich,[],[],[],[]
439,Steven Reigns,[],[],[],[]
440,Naomi Replansky,"[1953, 1954]",[],[],[]
441,Luivette Resto,[],[],[],[]
442,Michael Reyes,[],[],[],[]
443,Erika Reyes,[],[],[],[]
444,Thelma T. Reyna,[],[],[],[]
445,Tim Reynolds,"[1958, 1960, 1963, 1965, 1967]",[],[],[]
446,Arte Richer,[],[],[],[]
447,Steve Richmond,[],[],[],[]
448,Frankie Rios,[],[],[],[]
449,El Rivera,[],[],[],[]
450,Sophia Rivera,[],[],[],[]
451,Doren Robbins,[],[1996],[],[]
452,Ariel Robello,[],[],[],[]
453,Marilyn Robertson,[],[],[],[]
454,Brooks Roddan,[],[],[],[]
455,Luis J. Rodriguez,[],[1992],[],[]
456,Aleida Rodriguez,[],[],[],[]
457,Daniela Rodriguez,[],[],[],[]
458,Trini Rodriguez,[],[],[],[]
459,Claudia Rodriguez,[],[],[],[]
460,Norma Rodriguez,[],[],[],[]
461,Ramiro D. Rodriguez,[],[],[],[]
462,Jeff Rogers,[],[],[],[]
463,Edwin Rolfe,[1953],[],[],[]
464,Henry Rollins,[],[],[],[]
465,Conrad Romo,[],[],[],[]
466,Jessica Romoff,[],[],[],[]
467,Martha Ronk,[],[2004],[],[]
468,Sylvia Rosen,[],[],[],[]
469,Lee Rossi,[2010],[],[],[]
470,Melissa Roxas,[],[],[],[]
471,Ed Ruscha,[],[],[],[]
472,Beth Ruscio,[],[],[],[]
473,A.P. Russo,[],[],[],[]
474,Mehnaz Sahibzada,[],[],[],[]
475,Pogo Saito,[],[],[],[]
476,Jerome Sala,[],[],[],[]
477,Maya Salameh,[2021],[],[],[]
478,Abel Salas,[],[],[],[]
479,Mark Salerno,[],[],[],[]
480,Alejandra Sanchez,[],[],[],[]
481,Georgiana Valoyce Sanchez,[],[],[],[]
482,Cathie Sandstrom,[],[],[],[]
483,T Sarmina,[],[],[],[]
484,Standard Schaeffer,[],[],[],[]
485,Nicky Sa-eun Schildkraut,[],[],[],[]
486,Peter Schjeldahl,"[1969, 1971, 1975]",[],[],[]
487,Peter Schneidre,[],[],[],[]
488,Budd Schulberg,[],[],[],[]
489,Tony Scibella,[],[],[],[]
490,Adrian Scott,[],[],[],[]
491,Matt Sedillo,[],[],[],[]
492,Anthony Seidman,[],[],[],[]
493,Patty Seyburn,"[2009, 2010]",[],[],[]
494,S. Pearl Sharp,[],[],[],[]
495,Michael Shepler,[],[],[],[]
496,Mahtem Shiferraw,[],[],[],[2017]
497,Nancy Shiffrin,[],[],[],[]
498,Lynn Shoemaker,[],[],[],[]
499,David Shook,[2009],[],[],[2013]
500,Renee Simms,[],[],[],[]
501,Norton Simon,[],[],[],[]
502,Romus Simpson,[],[],[],[]
503,Hiram Sims,[],[],[],[]
504,Willie Sims,[],[],[],[]
505,Jack Skelley,[],[],[],[]
506,Joan Jobe Smith,[],[],[],[]
507,Frances Dean Smith,[],[],[],[]
508,George Drury Smith,[],[],[],[]
509,Raaki Solomon,[],[],[],[]
510,Brian Sonia-Wallace,[],[],[],[]
511,Mike Sonksen,[],[],[],[]
