poet_id,nom_canonique,score_canon_local,score_national_presence,categorie
184,Lucia Galloway,1,0,peripherie
189,Nicolai Garcia,1,0,peripherie
190,Margaret Elysia Garcia,1,0,peripherie
192,Marisa Urrutia Gedney,1,0,peripherie
193,Emma Gee,1,0,peripherie
197,Steve Goldman,1,0,peripherie
200,William A. Gonzalez,1,0,peripherie
207,Pamela Gray,1,0,peripherie
208,Dorothy Randall Gray,1,0,peripherie
209,Janet Gray,1,0,peripherie
210,Timothy Green,1,0,peripherie
212,Robert Greenfield,1,0,peripherie
213,Ian Gregson,1,0,peripherie
214,Robert Gribbin,1,0,peripherie
219,John Harris,1,0,peripherie
221,Hazel Clayton Harrison,1,0,peripherie
223,Levan Hawkins,1,0,peripherie
225,Kevin James Hearle,1,0,peripherie
231,Adolfo Y. Hernandez,1,0,peripherie
232,Raul Herrera,1,0,peripherie
235,Bill Hickok,1,0,peripherie
238,William Ryan Hilary,1,0,peripherie
239,Yuri Hinson,1,0,peripherie
241,Marlene Hitt,1,0,peripherie
243,Alexandra Hohmann,1,0,peripherie
244,Karen Holden,1,0,peripherie
246,Jamal Holmes,1,0,peripherie
250,Eric Howard,1,0,peripherie
252,Nan Hunt,1,0,peripherie
253,Terry Hunter,1,0,peripherie
254,Boris Salvador Ingles,1,0,peripherie
255,Charlotte Innes,1,0,peripherie
258,Wendy James,1,0,peripherie
262,James Evert Jones,1,0,peripherie
264,Harry Gamboa Jr.,1,0,peripherie
265,Grover Jacoby Jr.,1,0,peripherie
272,Chungmi Kim,1,0,peripherie
274,Linda King,1,0,peripherie
280,Steve Kowit,1,0,peripherie
287,Tom Laichas,1,0,peripherie
290,Haley Laningham,1,0,peripherie
291,Carlos Lara,1,0,peripherie
292,Teka Lark,1,0,peripherie
295,Anthony A. Lee,1,0,peripherie
296,Janice Lee,1,0,peripherie
303,Carol Lewis,1,0,peripherie
305,Kimberly Lieu,1,0,peripherie
306,Martha Lifson,1,0,peripherie
307,Mark Lipman,1,0,peripherie
312,Jaime Lopez,1,0,peripherie
314,Josslyn Luckett,1,0,peripherie
315,Jason Luckett,1,0,peripherie
317,Oshea Luja,1,0,peripherie
318,Melanie Luja,1,0,peripherie
320,Rick Lupert,1,0,peripherie
321,K. Curtis Lyle,1,0,peripherie
325,Robert Mader-Kammer,1,0,peripherie
328,Karineh Mahdessian,1,0,peripherie
330,Barbara Maloutas,1,0,peripherie
332,Nichola Manning,1,0,peripherie
337,William Margolis,1,0,peripherie
338,Ruthie Marlene,1,0,peripherie
340,Jeffery Martin,1,0,peripherie
342,D Hideo Maruyama,1,0,peripherie
349,Rhiannon McGavin,1,0,peripherie
353,Murray Mednick,1,0,peripherie
354,Jose Mendivil,1,0,peripherie
360,Rondo Mieczkowski,1,0,peripherie
361,Elena Minor,1,0,peripherie
362,Rhonda Lynn Mitchell,1,0,peripherie
363,Penelope Moffet,1,0,peripherie
365,Alejandro Molina,1,0,peripherie
366,Thea Monyee,1,0,peripherie
371,Sybil Mosely,1,0,peripherie
379,Mindy Nettifee,1,0,peripherie
384,Terri Niccum,1,0,peripherie
385,Alice Nicholas,1,0,peripherie
387,Janet Nippell,1,0,peripherie
389,Victor Noel,1,0,peripherie
397,Akilah Nayo Oliver,1,0,peripherie
398,Wendy C. Ortiz,1,0,peripherie
400,Rosella Pace,1,0,peripherie
401,Javier Pacheco,1,0,peripherie
403,Nancy Padron,1,0,peripherie
404,Melinda Palacio,1,0,peripherie
405,Rae Paris,1,0,peripherie
410,Marlene Pearson,1,0,peripherie
412,Gerda Penfold,1,0,peripherie
